"","Tree.ID","X.1","X","sp.x","dbh.2","jd","notes","type","X0","X1","X2","X7","X10","npp"
"98",50791,101,181,"pinust",39.06,194,"","coniferous",0,0,0,1,0,0.00210753503355054
"101",50856,104,184,"pinust",60.12,200,"","coniferous",0,0,0,2,0,0.00469370193878652
"102",50921,105,185,"pinust",56.45,200,"","coniferous",0,0,1,1,0,0.00376444560640385
"104",50988,107,187,"acerru",30,200,"","deciduous",0,0,0,1,0,0.129343751728171
"105",60087,108,201,"querru",24.87,184,"","deciduous",1,0,0,2,0,0.0507033098098705
"106",60161,109,202,"querru",12.13,184,"","deciduous",1,0,0,1,0,-0.027233723156235
"107",60183,110,203,"acerru",15.45,184,"dead","deciduous",0,0,0,5,0,0.030608154445526
"108",60224,111,204,"pinust",11.33,184,"","coniferous",0,0,0,1,0,3.60154806291677e-06
"110",60828,113,206,"tsugca",46.99,194,"dead","coniferous",0,0,0,3,0,0.00091792764778395
"111",60880,114,207,"pinust",61.37,194,"","coniferous",0,0,0,3,0,0.00810667158967281
"112",60967,115,208,"pinust",54.21,200,"","coniferous",0,0,0,1,1,0.00735768495529618
"114",61080,117,210,"tsugca",35.42,200,"","coniferous",0,0,0,1,0,0.000516708889849386
"115",70376,118,237,"acerru",26.35,190,"","deciduous",0,0,0,3,0,0.0407633525655764
"116",70379,119,238,"acerru",15.18,190,"","deciduous",0,0,0,2,0,0.00742855275615462
"117",70486,120,239,"acerru",23.53,190,"","deciduous",0,0,0,1,0,0.0387462528704052
"118",70494,121,240,"pinust",23.93,190,"","coniferous",0,0,0,1,0,0.000754500516259437
"120",70526,123,242,"pinust",24.09,190,"dead","coniferous",0,0,0,2,0,0.000295534156761324
"121",70534,124,243,"pinust",28.26,190,"","coniferous",0,0,0,2,0,0.000270506590213707
"122",70550,125,244,"tsugca",14.69,190,"","coniferous",0,0,0,2,0,0.000257025279602569
"123",70644,126,245,"acerru",20,192,"","deciduous",0,0,0,3,0,0.0253206743781243
"124",70672,127,246,"tsugca",22.06,193,"","coniferous",0,0,0,1,0,0.000115742369288054
"125",70677,128,247,"pinust",10.87,193,"","coniferous",0,0,0,2,0,-0.000248499654152839
"127",70762,130,249,"tsugca",31.69,192,"","coniferous",0,0,0,2,0,0.000432715085113375
"131",70947,135,254,"tsugca",43.53,200,"","coniferous",0,0,0,1,0,0.000996368461248655
"132",70981,136,255,"tsugca",22.93,200,"","coniferous",0,0,0,3,0,0.000200525542494568
"135",80465,139,286,"tsugca",11.34,191,"","coniferous",0,0,0,2,0,-5.10253681163995e-06
"136",80570,140,287,"tsugca",26.12,191,"","coniferous",0,0,0,1,0,3.16902983366263e-05
"137",80571,141,288,"pinust",48.1,191,"dead","coniferous",0,0,0,1,0,0.00445581189573682
"138",80572,142,289,"tsugca",19,191,"","coniferous",0,0,0,3,0,0.000303878470608188
"139",80580,143,290,"pinust",60.02,191,"","coniferous",0,0,0,2,0,0.00351757364073753
"141",80636,145,292,"acerru",39.69,193,"","deciduous",0,0,0,1,0,0.0136158402101111
"143",80663,147,294,"acerru",24.77,193,"","deciduous",0,0,0,5,0,0.0855606063365018
"145",80685,149,296,"pinust",28.11,193,"","coniferous",0,0,0,4,0,0.0013868752744612
"147",80789,151,298,"tsugca",27.01,200,"","coniferous",0,0,0,1,0,8.5297678046172e-05
"148",80802,152,299,"tsugca",22.14,200,"","coniferous",1,0,0,2,0,7.11103554132853e-05
"149",80892,153,300,"pinust",41.27,200,"","coniferous",0,0,0,1,0,0.00308194454838901
"152",80936,156,303,"tsugca",39.12,200,"","coniferous",0,0,0,1,0,0.000371822680784726
"153",80953,157,304,"tsugca",25.12,200,"","coniferous",0,0,0,1,0,0.000153100958377857
"154",80990,158,305,"tsugca",36.37,200,"","coniferous",0,0,0,2,0,0.000673718579302717
"155",90001,159,334,"acerru",17.21,184,"","deciduous",0,0,0,3,0,0.026162385445339
"156",90508,160,335,"pinust",52.01,191,"","coniferous",1,0,0,2,0,0.00539050197975658
"157",90517,161,336,"acerru",25.1,191,"","deciduous",0,0,0,4,0,0.0486050709099167
"158",90536,162,337,"acerru",21.11,191,"","deciduous",0,0,0,1,1,0.023719238693367
"159",90553,163,338,"pinust",14.22,191,"","coniferous",0,0,0,4,0,8.62312805211794e-05
"160",90623,164,339,"pinust",41.41,193,"","coniferous",0,0,0,1,0,0.0037281177194282
"161",90631,165,340,"acerru",17.95,194,"","deciduous",0,0,0,2,0,0.0225439639311832
"162",90634,166,341,"tsugca",38.92,194,"","coniferous",0,0,0,2,0,0.000413491648009702
"163",90638,167,342,"pinust",31.43,193,"","coniferous",0,0,1,1,0,0.00172103071967105
"164",90644,168,343,"tsugca",12.58,194,"","coniferous",0,0,0,1,0,-1.17934757426488e-05
"166",90738,170,345,"tsugca",37.71,201,"","coniferous",0,0,0,1,0,0.000433828592051232
"167",90754,171,346,"tsugca",31.38,201,"","coniferous",0,0,0,2,0,0.000161678735244354
"170",90795,174,349,"acerru",34.58,200,"","deciduous",0,0,0,3,0,0.15446631104255
"173",90842,177,352,"tsugca",32.45,200,"","coniferous",0,0,0,1,0,0.00039990838909186
"174",90856,178,353,"tsugca",25.99,200,"","coniferous",0,0,0,2,0,0.000253739866650157
"175",90872,179,354,"acerru",30.39,200,"","deciduous",0,0,0,2,0,0.0224804259852371
"177",100602,181,377,"tsugca",19.86,191,"","coniferous",0,0,0,3,1,0.000499980287767311
"181",100789,185,381,"tsugca",28.44,194,"","coniferous",0,1,1,1,0,0.00081388776041535
"182",100854,186,382,"acerru",13.61,194,"","deciduous",0,0,0,1,0,0.0023620725773342
"184",100909,188,384,"pinust",54.78,194,"","coniferous",0,0,0,2,0,0.00629553097162515
"185",100947,189,385,"tsugca",39.21,201,"","coniferous",1,0,0,0,0,0.00106577644026899
"186",100965,190,386,"pinust",30.04,201,"","coniferous",0,0,0,2,0,0.000494358713956402
"188",110114,192,424,"pinust",34.05,184,"","coniferous",0,0,0,3,0,0.000731918557726297
"190",110795,194,426,"querru",24.74,201,"","deciduous",0,0,0,1,0,0.0773309774231624
"194",120120,198,445,"pinust",51.98,184,"verify from [] data!","coniferous",3,0,0,1,0,0.00469457976671745
"195",120371,199,446,"querru",40.1,191,"","deciduous",0,0,0,1,0,0.147956243557567
"198",120820,202,449,"querru",21.18,201,"","deciduous",0,0,0,1,0,0.0217652491261603
"204",130309,208,475,"querru",38.77,191,"","deciduous",0,0,0,2,0,0.186980219667962
"205",130386,209,476,"querru",37.24,191,"","deciduous",2,0,1,2,0,0.109521345425032
"206",130539,210,477,"acerru",11.63,194,"","deciduous",0,0,0,1,0,0.00729237265166911
"207",130622,211,478,"querru",23.92,194,"","deciduous",1,0,0,2,0,0.00956043049932037
"209",130710,213,480,"pinust",21.36,201,"","coniferous",1,0,0,1,0,8.21440072598318e-05
"213",140380,217,491,"acerru",15.29,191,"","deciduous",0,0,0,1,0,0.00249994813910596
"214",140635,218,492,"querru",18.59,194,"","deciduous",0,0,0,4,0,0.00190536063934571
"217",150221,221,505,"pinust",22.58,184,"verify from [] data!","coniferous",1,0,0,2,0,2.77127205311383e-05
"218",150231,222,506,"querru",23.97,184,"dead","deciduous",1,0,0,0,0,0.0425788634668539
"219",150406,223,507,"tsugca",20.06,191,"","coniferous",0,0,0,4,0,0.000477738798049976
"220",150799,224,508,"pinust",12.59,194,"","coniferous",0,0,0,2,0,-0.000184042354626315
"221",150800,225,509,"querru",12.61,194,"dead","deciduous",0,0,0,1,0,-0.0185524681121194
"222",150844,226,510,"querru",25.35,194,"dead","deciduous",0,0,0,2,0,0.0455317278822229
"225",151080,229,513,"querru",36.32,201,"","deciduous",0,0,0,3,0,0.167682959821421
"226",151141,230,514,"querru",19.22,201,"","deciduous",0,0,0,1,0,0.00920318952575669
"231",170652,235,536,"querru",19.69,185,"","deciduous",2,0,0,1,0,0.0561244342600498
"234",171399,238,539,"querru",20.07,204,"dead","deciduous",0,0,0,3,0,0.0308493613447543
