"","X.3","X.2","stem.tag","X.1","X","sp.x.x.x","type.x","gx","npp.x","X0","X1","X2","X7","X10","shannon.fun","shannon.fun_tuk","npp_tuk.x","sp.x.x.y","type.y","npp.y","alienus","americana","fulva","herculeanus","impar","longispinosis","nearcticus","neogagates","novaeboracensis","noveboracensis","pennsylvanicus","picea","punctiventris","shannon","shannon.sp_tuk","npp_tuk.y","hill.sp","hill.fun","abundance.sp","sp.log","fun.log","npp.log"
"20",20,20,20994,20,20,"pinust","coniferous",23.1688,0.000359861846364599,2,0,2,0,0,2,1.14869835499704,0.000359861846364599,"pinust","coniferous",0.000359861846364599,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1.25266443862413,0.000359861846364599,2,2,2,0.301029995663981,0.301029995663981,-3.44386419611365
"21",21,21,30017,21,21,"tsugca","coniferous",44.8158,0.00277588942904586,0,0,0,1,0,1,1,0.00277588942904586,"tsugca","coniferous",0.00277588942904586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00277588942904586,1,1,1,0,0,-2.55659783696056
"22",22,22,30094,22,22,"tsugca","coniferous",41.0281,2.30280279123646e-05,0,0,0,4,0,1,1,2.30280279123646e-05,"tsugca","coniferous",2.30280279123646e-05,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2.30280279123646e-05,1,1,2,0.301029995663981,0,-4.63774325280651
"23",23,23,30145,23,23,"tsugca","coniferous",54.4671,0.000114908447612667,0,0,0,1,0,1,1,0.000114908447612667,"tsugca","coniferous",0.000114908447612667,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000114908447612667,1,1,1,0,0,-3.93964804253271
"24",24,24,30376,24,24,"acerru","deciduous",54.97125,0.00140034573129254,0,0,0,1,0,1,1,0.00140034573129254,"acerru","deciduous",0.00140034573129254,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00140034573129254,1,1,1,0,0,-2.85376472813899
"25",25,25,30419,25,25,"querru","deciduous",40.9421,0.0572904703846818,2,0,0,2,0,2,1.14869835499704,0.0572904703846818,"querru","deciduous",0.0572904703846818,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1.25266443862413,0.0572904703846818,2,2,2,0.301029995663981,0.301029995663981,-1.24191761195124
"26",26,26,30698,26,26,"tsugca","coniferous",52.3134,0.00112605860795137,0,0,0,4,0,1,1,0.00112605860795137,"tsugca","coniferous",0.00112605860795137,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.00112605860795137,1,1,2,0.301029995663981,0,-2.94843900517962
"27",27,27,30822,27,27,"tsugca","coniferous",50.9988,0.000861400977976441,0,0,0,1,0,1,1,0.000861400977976441,"tsugca","coniferous",0.000861400977976441,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000861400977976441,1,1,1,0,0,-3.06479463950454
"28",28,28,30944,28,28,"tsugca","coniferous",43.2299,0.000291145975743112,0,0,0,0,1,1,1,0.000291145975743112,"tsugca","coniferous",0.000291145975743112,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000291145975743112,1,1,1,0,0,-3.53588920838831
"29",29,29,30990,29,29,"tsugca","coniferous",57.7545,0.000587769306293949,4,0,0,0,0,1,1,0.000587769306293949,"tsugca","coniferous",0.000587769306293949,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0.000587769306293949,1,1,2,0.301029995663981,0,-3.2307930968194
"30",30,30,30995,30,30,"tsugca","coniferous",53.1379,0.000190834518215872,0,0,0,1,0,1,1,0.000190834518215872,"tsugca","coniferous",0.000190834518215872,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000190834518215872,1,1,1,0,0,-3.71934306718537
"31",31,31,31016,31,31,"tsugca","coniferous",40.2202,0.000412635332545925,0,0,0,4,0,1,1,0.000412635332545925,"tsugca","coniferous",0.000412635332545925,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1.25266443862413,0.000412635332545925,2,1,2,0.301029995663981,0,-3.3844335876262
"32",32,32,31025,32,32,"pinust","coniferous",42.4889,0.00525435518542774,0,0,0,1,0,1,1,0.00525435518542774,"pinust","coniferous",0.00525435518542774,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00525435518542774,1,1,1,0,0,-2.27948057299313
"33",33,33,31032,33,33,"pinust","coniferous",53.4193,0.00470790644094707,0,0,0,1,0,1,1,0.00470790644094707,"pinust","coniferous",0.00470790644094707,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00470790644094707,1,1,1,0,0,-2.32717217636899
"34",34,34,31134,34,34,"pinust","coniferous",50.799,0.00630411084002689,0,0,0,1,0,1,1,0.00630411084002689,"pinust","coniferous",0.00630411084002689,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00630411084002689,1,1,1,0,0,-2.20037615960656
"35",35,35,40005,35,35,"pinust","coniferous",62.8273,0.00654697366426264,0,0,0,9,0,1,1,0.00654697366426264,"pinust","coniferous",0.00654697366426264,0,0,3,0,0,0,0,0,0,0,0,6,0,1.88988157484231,1.22981912373371,0.00654697366426264,2,1,3,0.477121254719662,0,-2.18395940605959
"36",36,36,40166,36,36,"pinust","coniferous",71.9171,4.41877435039624e-05,0,0,0,1,0,1,1,4.41877435039624e-05,"pinust","coniferous",4.41877435039624e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.41877435039624e-05,1,1,1,0,0,-4.35469817559994
"37",37,37,40170,37,37,"pinust","coniferous",77.0329,0.000230508586453231,4,0,0,12,0,1.75476535060332,1.11903536050434,0.000230508586453231,"pinust","coniferous",0.000230508586453231,0,0,8,0,0,4,0,0,0,0,0,4,0,2.82842712474619,1.40201326566139,0.000230508586453231,3,2,4,0.602059991327962,0.301029995663981,-3.63731289248777
"38",38,38,40176,38,38,"acerru","deciduous",76.312,0.0552470504111112,0,0,0,1,0,1,1,0.0552470504111112,"acerru","deciduous",0.0552470504111112,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0552470504111112,1,1,1,0,0,-1.25769090360436
"39",39,39,40178,39,39,"pinust","coniferous",70.6095,0.000836732032776863,2,0,0,2,0,2,1.14869835499704,0.000836732032776863,"pinust","coniferous",0.000836732032776863,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1.25266443862413,0.000836732032776863,2,2,2,0.301029995663981,0.301029995663981,-3.07741360451502
