"","stem.tag","sp.x.x","dbh.2","type","gx","gy","dbh","agb","basal.area","agb.1","agb.2","npp"
"1",10285,"acerru",19.18,"deciduous",3.59443,66.243,16.6,0.125581953,216.424317905801,0.105441152424433,0.147637112756644,0.0421959603322109
"2",10553,"acerru",44.59,"deciduous",9.35077,159.45799,42.8,1.462921195,1438.72377163798,0.958125239122639,1.05409950493019,0.0959742658075459
"3",20466,"acerru",20.17,"deciduous",25.949,100.301,19.5,0.192108871,298.64765163188,0.153440124871425,0.166005715792912,0.0125655909214873
"4",30376,"acerru",10.77,"deciduous",54.97125,49.799,10.6,0.072684962,88.2473376393373,0.0370783982556283,0.0384787439869208,0.00140034573129254
"5",40176,"acerru",30.71,"deciduous",76.312,33.1526,29,0.541764316,660.519855417254,0.38685270139967,0.442099751810782,0.0552470504111112
"6",40185,"acerru",23.48,"deciduous",77.9177,29.0791,21.1,0.236391059,349.667116326178,0.184389598910911,0.23652924988063,0.0521396509697188
"7",50097,"acerru",24.25,"deciduous",95.333,11.6156,22.3,0.273312225,390.570652675917,0.209753216676991,0.254997932854762,0.0452447161777712
"8",50189,"acerru",12.46,"deciduous",92.7772,29.1431,10.8,0.04014074,91.6088417786784,0.0387289434277409,0.0540399996328147,0.0153110562050738
"9",50409,"acerru",26.54,"deciduous",86.595,74.4271,24.8,0.360841624,483.051286415967,0.26867713901917,0.314664275221419,0.045987136202249
"10",50988,"acerru",30,"deciduous",96.8524,238.403,25.6,0.391968283,514.718540364152,0.289305984854192,0.418649736582363,0.129343751728171
"11",60183,"acerru",15.45,"deciduous",119.602,25.7181,12.9,0.064349101,130.698108370969,0.058591190683937,0.0891993451294631,0.030608154445526
"12",60697,"acerru",11.05,"deciduous",113.928,111.833,10.9,0.041135436,93.3131557932508,0.0395696345209234,0.0408500325174165,0.00128039799649308
"13",70376,"acerru",26.35,"deciduous",125.644,88.7999,24.8,0.360841624,483.051286415967,0.26867713901917,0.309440491584747,0.0407633525655764
"14",70379,"acerru",15.18,"deciduous",128.183,89.3564,14.6,0.089377042,167.4154725098,0.0781808616820057,0.0856094144381603,0.00742855275615462
"15",70486,"acerru",23.53,"deciduous",128.5,102.393,21.8,0.257535202,373.252623173003,0.198958239270966,0.237704492141371,0.0387462528704052
"16",70644,"acerru",20,"deciduous",136.47701,132.94501,18.6,0.169610889,271.716348608981,0.137443263552894,0.162763937931018,0.0253206743781243
"17",80448,"acerru",32.9,"deciduous",142.461,89.6246,30.4,0.611912146,725.833566685386,0.431771277485374,0.519068579798938,0.0872973023135646
"18",80636,"acerru",39.69,"deciduous",152.0224925,124.99225,39.4,2.842656265,1219.22069293166,0.790068043020835,0.803683883230947,0.0136158402101111
"19",80663,"acerru",24.77,"deciduous",143.073,153.875,21,0.233459482,346.360590058275,0.182359862267274,0.267920468603776,0.0855606063365018
"20",90001,"acerru",17.21,"deciduous",160.20399,5.49826,15.4,0.102953692,186.265028431339,0.0885281886500044,0.114690574095343,0.026162385445339
"21",90517,"acerru",25.1,"deciduous",168.101995,114.50675,23.1,0.919686656,419.096313970512,0.227705862426022,0.276310933335939,0.0486050709099167
"22",90536,"acerru",21.11,"deciduous",175.257,116.5,19.9,0.202659456,311.025526687023,0.160874039448128,0.184593278141495,0.023719238693367
"23",90631,"acerru",17.95,"deciduous",168.226,147.519,16.5,0.123590183,213.824649984955,0.103967090096388,0.126511054027571,0.0225439639311832
"24",90795,"acerru",34.58,"deciduous",161.80701,209.528,30.3,0.606734349,721.066199833563,0.428469214363497,0.582935525406048,0.15446631104255
"25",90872,"acerru",30.39,"deciduous",168.90401,237.80099,29.7,0.576209438,692.791865951255,0.408959993929057,0.431440419914294,0.0224804259852371
"26",100138,"acerru",20.78,"deciduous",180.68449,22.548,20.4,0.358558404,326.851299679482,0.170449836464741,0.177939519912676,0.0074896834479351
"27",100771,"acerru",28.78,"deciduous",199.85201,139.884,28,0.494716128,615.752160103599,0.356481102087956,0.380049213889452,0.0235681118014959
"28",100854,"acerru",13.61,"deciduous",195.319,145.411,13.4,0.071185398,141.026094219646,0.0640195296364102,0.0663816022137444,0.0023620725773342
"29",110632,"acerru",27.31,"deciduous",218.334,157.05701,25.3,0.38011548,502.725510409073,0.281468055686437,0.336347233660433,0.054879177973996
"30",130213,"acerru",14.07,"deciduous",259.90302,77.4076,13.8,0.076965729,149.57122623741,0.0685609094969914,0.0717271451853129,0.00316623568832149
"31",130539,"acerru",11.63,"deciduous",250.98801,143.985,10.8,0.04014074,91.6088417786784,0.0387289434277409,0.04602131607941,0.00729237265166911
"32",140315,"acerru",10.64,"deciduous",277.06,72.5352,10.1,0.033597834,80.1184666481737,0.0331304320651389,0.0374052267634203,0.00427479469828142
"33",140380,"acerru",15.29,"deciduous",270.49301,91.1917,15.1,0.097723568,179.078635236252,0.0845618714781733,0.0870618196172792,0.00249994813910596
"34",171524,"acerru",12.93,"deciduous",334.061,229.254,12.6,0.060451128,124.689812420979,0.0554653386426086,0.0589091642982228,0.00344382565561419
"35",190218,"acerru",14.76,"deciduous",367.418,41.7186,14.3,0.084588219,160.606070433144,0.0744888494222966,0.0801917168880997,0.0057028674658031
"36",200385,"acerru",17.72,"deciduous",395.017,102.06,17.4,0.142226048,237.787147950211,0.117662493386251,0.122766185133711,0.00510369174745999
"37",210223,"acerru",10.68,"deciduous",418.76999,66.5286,10.8,0.04014074,91.6088417786784,0.0387289434277409,0.0377336935072211,-0.000995249920519817
"38",210411,"acerru",13.44,"deciduous",418.745,128.425,13.1,0.067032276,134.782178820636,0.060729599586761,0.0644656839823504,0.00373608439558935
"39",240712,"acerru",28.16,"deciduous",471.36949,159.735,27.5,0.478584416,593.95736106932,0.341824726834748,0.361245440565655,0.0194207137309071
"40",260632,"acerru",30.51,"deciduous",511.3296633,124.6773333,27.3,0.760994111,585.349397198484,0.336060343058676,0.435420269825331,0.0993599267666557
"41",270492,"acerru",22.43,"deciduous",522.426025,81.2601,21.6,0.393608297,366.435367114714,0.194731199479078,0.212613338164721,0.0178821386856423
"42",270609,"acerru",19.79,"deciduous",523.004,119.7705,18.5,0.207356592,268.802521422777,0.13572768007063,0.158809690471558,0.0230820104009284
"43",271138,"acerru",31.5,"deciduous",529.83002,236.59399,29.5,0.566240133,683.492751696629,0.40257202854922,0.469052968807785,0.0664809402585644
"44",280807,"acerru",11.92,"deciduous",555.55298,152.97,11.1,0.043170714,96.7689077121996,0.0412820104418566,0.0487396014832958,0.00745759104143925
"45",291296,"acerru",13.93,"deciduous",563.651,234.946,13.9,0.078454682,151.746779150021,0.0697240785326875,0.0700752087308887,0.00035113019820121
"46",300674,"acerru",30.92,"deciduous",581.90601,133.489,28.7,0.527384323,646.924613208844,0.377592290220222,0.449175747705084,0.0715834574848622
"47",321440,"acerru",16.03,"deciduous",637.46899,200.151,15.5,0.104734519,188.691908756237,0.0898733966330342,0.0971971220411713,0.0073237254081371
"48",330680,"acerru",23.52,"deciduous",653.53101,115.184,22.4,0.276535669,394.081382466304,0.211951347268185,0.237469177672331,0.0255178304041465
"49",350816,"acerru",16.82,"deciduous",699.48102,158.56599,16.7,0.127593295,219.039693789914,0.106927072473801,0.108725861842115,0.00179878936831371
"50",10453,"pinust",68.79,"coniferous",18.5788,84.1423,66,2.947037828,3421.19439975928,0.0470170645969328,0.0522268650148075,0.00520980041787465
"51",10476,"pinust",62.65,"coniferous",9.10631,119.479,58,2.155349447,2642.07942166902,0.0338711417448387,0.0411942840980515,0.00732314235321282
"52",10496,"pinust",65.29,"coniferous",13.3583,105.856,61.9,2.524657202,3009.3394568553,0.0399541417109148,0.0457439274021403,0.00578978569122547
"53",10559,"pinust",56.28,"coniferous",10.8421,156.561,54.4,1.842469167,2324.27590883187,0.0287871719879894,0.0313796356036463,0.00259246361565682
"54",10597,"pinust",55.58,"coniferous",14.1267,160.26401,54.1,1.817605973,2298.71119861329,0.0283859633003247,0.0303985153335626,0.00201255203323792
"55",10633,"pinust",62.48,"coniferous",19.4642,185.06799,60.4,2.378872615,2865.25816378003,0.0375424050968554,0.0409111704259751,0.00336876532911972
"56",10637,"pinust",54.68,"coniferous",10.9068,181.731,52.3,1.672323546,2148.29174235941,0.0260499131400795,0.0291647167998546,0.00311480365977514
"57",10677,"pinust",70.61,"coniferous",19.8446,205.25,68.8,3.255608958,3717.63508255202,0.0522461370074508,0.0558056802906521,0.00355954328320129
"58",10686,"pinust",56.71,"coniferous",6.17303,225.62601,53.5,1.768436709,2248.00589318435,0.0275937585151885,0.0319917120277752,0.00439795351258671
"59",10709,"pinust",51.71,"coniferous",3.74215,235.006,51.5,1.60989343,2083.07227887088,0.0250504663417303,0.0253105289239926,0.000260062582262327
"60",20468,"pinust",32.83,"coniferous",20.8509,111.805,29.8,0.403304234,697.46498502347,0.00624942851131723,0.00799034626629682,0.00174091775497958
